so_thue_bao,so_bi_goi,loai_dich_vu,huong,thoi_gian_bat_dau,thoi_luong_giay,so_luong
0901234501,0912345602,THOAI,NOI_MANG,2026-06-02 09:15:00,125,0
0912345602,0933456703,THOAI,NOI_MANG,2026-06-02 21:40:00,88,0
0933456703,0987654321,THOAI,NGOAI_MANG,2026-06-03 14:05:00,340,0
0944567804,+8412345678,THOAI,QUOC_TE,2026-06-04 10:20:00,95,0
0965678905,0912345602,SMS,NOI_MANG,2026-06-05 11:30:00,0,1
0976789006,0901234501,SMS,NOI_MANG,2026-06-06 16:45:00,0,1
0987890107,,DATA,NOI_MANG,2026-06-07 20:10:00,0,153600
0829012309,0830123410,THOAI,NOI_MANG,2026-06-08 08:05:00,45,0
0830123410,0999888777,THOAI,NGOAI_MANG,2026-06-09 19:55:00,210,0
0841234511,0912345602,SMS,NGOAI_MANG,2026-06-10 07:20:00,0,1
0883456713,,DATA,NOI_MANG,2026-06-11 22:30:00,0,51200
0904567814,0947890117,THOAI,NOI_MANG,2026-06-12 13:15:00,600,0
0936789016,0968901218,THOAI,NOI_MANG,2026-06-13 10:00:00,72,0
0947890117,+6598765432,THOAI,QUOC_TE,2026-06-15 15:40:00,180,0
0968901218,0979012319,SMS,NOI_MANG,2026-06-16 09:05:00,0,1
0979012319,,DATA,NOI_MANG,2026-06-17 18:25:00,0,307200
0821234521,0832345622,THOAI,NOI_MANG,2026-06-18 11:50:00,255,0
0999999999,0901234501,THOAI,NOI_MANG,2026-06-19 09:30:00,120,0
0832345622,0901234501,VOICE,NOI_MANG,2026-06-20 14:10:00,90,0
0901234501,0912345602,THOAI,NOI_MANG,15/06/2026 10:30:00,150,0
